X Targetposition, Y Targetposition,Z Targetposition,X Targetrotation,Y Targetrotation,Z Targetrotation,X Rotation,Y Rotation,Z Rotation,X position,Y position,Z position,FramesFromStart,TimeFromStart,VIMS Scale,VIMS Count,ISwait
136.2266,-4.043148,112.9352,0.02335909,0.9245177,0.05679093,-0.02166635,-0.2596312,0.01288709,131.4243,-2.035648,108.5693,1817,44.22006,0,1,False
136.1886,-3.457659,116.4089,0.006973962,0.9282604,0.01601994,0.01203648,-0.275769,0.0241944,131.4124,-2.031672,111.9497,1831,44.55006,0,1,False
135.678,-2.915539,120.071,-0.006612617,0.9452128,-0.02218324,0.04632062,-0.259655,0.02504048,131.391,-2.027473,115.1809,1844,44.88007,0,1,False
134.6558,-2.334113,124.0432,-0.01514638,0.9682427,-0.06506349,0.06905485,-0.2276581,0.01103009,131.3644,-2.023881,118.5625,1857,45.21007,0,1,False
133.2549,-1.757052,127.6887,-0.01395786,0.9850658,-0.1096394,0.1014639,-0.1507111,0.01241712,131.337,-2.019023,121.7664,1869,45.54007,0,1,False
131.5939,-1.187148,130.9882,-0.0009394701,0.9879999,-0.1543547,0.1305392,-0.03402025,0.0204982,131.3071,-2.015609,124.991,1881,45.87007,0,1,False
129.9757,-0.6925032,133.8498,0.02338495,0.9734904,-0.1917554,0.1686151,0.06746948,0.03483443,131.2796,-2.010748,128.2236,1893,46.20007,0,1,False
133.7172,-0.3080387,134.985,0.001880519,0.9745065,-0.2240044,0.2101977,-0.08176918,0.004991721,133.8266,-2.00728,129.4031,1906,46.53008,0,1,False
138.3399,-0.08874702,134.7995,-0.02715907,0.9645585,-0.2403913,0.2245242,-0.1949765,-0.02919906,137.1888,-2.0066,129.4471,1919,46.86008,0,1,False
142.678,0.02419138,134.5203,-0.04820027,0.9502025,-0.2465802,0.2293401,-0.3001779,-0.06308547,140.7148,-2.006183,129.4675,1933,47.19008,0,1,False
146.99,0.03006124,134.1003,-0.06983043,0.9294997,-0.2418543,0.2293473,-0.3639813,-0.0955724,144.135,-2.005838,129.4938,1947,47.52008,0,1,False
151.3624,-0.0689249,133.1218,-0.09972629,0.8838353,-0.2221982,0.2219176,-0.4085071,-0.1047381,147.2368,-2.006202,129.5293,1961,47.85008,0,1,False
156.1357,-0.3356616,131.0473,0.1317589,-0.7832268,0.1783881,0.2035837,-0.4798074,-0.1131631,150.6858,-2.007053,129.5742,1976,48.18008,0,1,False
159.7804,-0.7384839,128.4938,0.1432457,-0.6437077,0.1241051,0.2143022,-0.577231,-0.106829,153.9628,-2.007905,129.6121,1991,48.51009,0,1,False
162.5456,-1.214359,126.3414,0.1315619,-0.5015731,0.07662027,0.1863367,-0.6958588,-0.0738913,157.3033,-2.013222,129.6516,2006,48.84009,0,1,False
165.2244,-1.718835,125.2132,0.103493,-0.4108872,0.04645015,0.1449874,-0.8213471,-0.05102726,160.6575,-2.020129,129.6941,2021,49.17009,0,1,False
168.4744,-2.282175,125.0852,0.06487631,-0.4011963,0.02812973,0.1188185,-0.8538709,-0.03287109,163.9427,-2.023335,129.746,2036,49.50009,0,1,False
172.0274,-2.824789,125.5144,0.02727984,-0.4380974,0.0123388,0.101795,-0.8520651,-0.01956101,167.1188,-2.025304,129.806,2051,49.83009,0,1,False
